2024-04-18 12:44:18,876 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-04-18 12:44:18,995 [http-nio-8080-exec-2] INFO  c.h.s.c.AuthorRestController - Fetching author with ID: 107
2024-04-18 12:44:26,572 [http-nio-8080-exec-1] INFO  c.h.s.c.AuthorRestController - Fetching author with ID: 106
2024-04-18 12:45:09,615 [http-nio-8080-exec-3] INFO  c.h.s.c.AuthorRestController - Getting book by id: 106
2024-04-18 12:45:09,890 [http-nio-8080-exec-3] ERROR o.a.c.c.C.[.[.[.[dispatcherServlet] - Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed: java.util.NoSuchElementException: No value present] with root cause
2024-04-18 12:45:14,612 [http-nio-8080-exec-4] INFO  c.h.s.c.AuthorRestController - Getting new books
2024-04-18 12:45:53,725 [http-nio-8080-exec-5] INFO  c.h.s.c.AuthorRestController - Getting book by id: 65
2024-04-18 12:45:59,871 [http-nio-8080-exec-6] INFO  c.h.s.c.AuthorRestController - Getting new books
2024-04-18 12:47:32,102 [http-nio-8080-exec-9] INFO  c.h.s.c.AuthorRestController - Getting book by id: 68
2024-04-18 12:56:01,567 [http-nio-8080-exec-1] INFO  c.h.s.c.AuthorRestController - Getting new books
2024-04-18 12:56:26,334 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-18 12:56:26,343 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-18 12:56:28,022 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
